;deputado_id;deputado_nome;deputado_siglaPartido;2293449-187;2275537-117;2275537-102;2165194-130;2210757-104;2210757-93;531331-317;531331-284;2166595-59;Cluster
190;204546;Joice Hasselmann;PSL;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;2
191;204547;Léo Motta;PSL;0.5;0.0;0.5;1.0;1.0;1.0;0.5;0.0;1.0;0
192;204555;José Ricardo;PT;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
193;204558;Marcelo Nilo;PSB;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
194;204559;Zé Neto;PT;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
195;204561;Bira do Pindaré;PSB;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
196;204562;Edilázio Júnior;PSD;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0
197;204565;Professora Dayane Pimentel;PSL;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;2
198;204575;Gil Cutrim;REPUBLICANOS;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
199;205476;Charles Fernandes;PSD;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0
200;205550;Jorge Braz;REPUBLICANOS;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
201;205863;Marcelo Brum;PSL;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
202;206231;Ted Conti;PSB;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
203;207176;Bia Cavassa;PSDB;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1
204;209189;Joseildo Ramos;PT;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
205;213274;Ricardo Silva;PSB;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
206;213762;Carla Dickson;PROS;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
207;215042;Ricardo da Karol;PSC;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
208;215043;Josivaldo JP;PODE;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1
209;215044;Vivi Reis;PSOL;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;2
210;215045;Pedro Augusto Palareti;PSD;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0
